tp,concurrency,run_id,atom_commit,successful_requests,p90_itl_ms,request_span_s,input_tokens,output_tokens,x_output_tok_s_user,y_total_tok_s_gpu,validation
2,1,35834179304,f3f112e482aebfb0efde44afc7e599a2630b962f,270,3.4814840874280963,3592.0097530880003,72276058,525836,287.23382755,10133.86641523,aggregate_reconstruction
2,2,35834179304,f3f112e482aebfb0efde44afc7e599a2630b962f,417,3.91284588044363,3611.139002624,76990705,601604,255.56846105,10743.46749649,aggregate_reconstruction
2,8,35834179304,f3f112e482aebfb0efde44afc7e599a2630b962f,1288,5.993107616767572,3610.067492352,194219463,1412240,166.85834194,27095.29716750,aggregate_reconstruction
2,16,35834179304,f3f112e482aebfb0efde44afc7e599a2630b962f,2366,9.535357301570118,3607.329827328,336580354,2288000,104.87283993,46969.41646877,aggregate_reconstruction
2,32,35834179304,f3f112e482aebfb0efde44afc7e599a2630b962f,3828,17.442026011755434,3629.1258577920003,601216071,3825993,57.33278917,83359.20104575,aggregate_reconstruction
2,64,35834179304,f3f112e482aebfb0efde44afc7e599a2630b962f,5950,40.27481646885673,3629.509147904,744385238,5895504,24.82941172,103358.43104753,aggregate_reconstruction
4,2,35823705134,016f4ee9bee58447fb83be5f2481f1623bfac972,425,3.513903984349553,3596.5521717760003,81252855,630069,284.58375768,5691.76534144,aggregate_reconstruction
4,8,35823705134,016f4ee9bee58447fb83be5f2481f1623bfac972,1345,4.508616176875001,3613.0624166400003,208849283,1487260,221.79754514,14553.89630354,aggregate_reconstruction
4,16,35823705134,016f4ee9bee58447fb83be5f2481f1623bfac972,2523,7.0692343905469075,3620.8520320000002,380979318,2449276,141.45803417,26473.64422872,aggregate_reconstruction
4,32,35823705134,016f4ee9bee58447fb83be5f2481f1623bfac972,4212,12.089565605371103,3610.0449448960003,687871444,4277481,82.71595793,47932.15427820,aggregate_reconstruction
4,64,35823705134,016f4ee9bee58447fb83be5f2481f1623bfac972,7371,24.719756936334058,3628.2049198080003,970179402,7316197,40.45347220,67353.94090225,aggregate_reconstruction
